rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/hear_no_evil,Hear No Evil,An Oregon woman's (Marlee Matlin) new friend (D.B. Sweeney) helps her elude a corrupt policeman (Martin Sheen) who wants an item she unknowingly holds.,,Mystery & Suspense,Robert Greenwald,"Danny Rubin, Randall M. Badat",11.0,35.0,9.0,2454.0
m/stage_door,Stage Door,"A boardinghouse for female theater actresses gets a new arrival in the form of Terry Randall (Katharine Hepburn), an upper-class woman pursuing her dreams against her wealthy father's wishes. At first, her status makes her unpopular with the other boarders, particularly her roommate, Jean (Ginger Rogers). As Terry becomes better acquainted with the other girls and their shared ambitions, rivalry -- both professional and romantic -- explodes among them.",,"Classics, Comedy, Drama",Gregory La Cava,"Gregory La Cava, Morrie Ryskind, Anthony Veiller",96.0,87.0,23.0,4809.0
m/last_tango_in_paris,Last Tango in Paris,"Distraught following his wife's suicide, American hotelier Paul (Marlon Brando) becomes transfixed by the beautiful younger Frenchwoman Jeanne (Maria Schneider) when he meets her by chance at an apartment both are attempting to rent. The couple begin an extended but purely anonymous sexual relationship in which they do not even tell each other their names, but it soon becomes clear that the couple's deliberate level of disassociation cannot continue.","Naturalistic but evocative, Last Tango in Paris is a vivid exploration of pain, love, and sex featuring a typically towering Marlon Brando performance.","Art House & International, Drama, Romance",Bernardo Bertolucci,"Bernardo Bertolucci, Franco Arcalli",83.0,76.0,40.0,24564.0
m/road_to_paloma,Road to Paloma,"After avenging the rape and murder of his mother, a man (Jason Momoa) dodges the FBI while traveling across the West to spread her ashes.",,"Drama, Mystery & Suspense",Jason Momoa,"Jason Momoa, Jonathan Hirschbein, Robert Mollohan",57.0,55.0,14.0,588.0
m/art_of_being_straight,The Art of Being Straight,Two college friends question their orientation in New York.,,"Comedy, Drama, Gay & Lesbian",Jesse Rosen,Jesse Rosen,38.0,31.0,8.0,324.0
m/patema_inverted,Patema Inverted,Patema and Age leave their community's tunnels to find out why gravity was reversed by an energy experiment.,,Animation,Yasuhiro Yoshiura,Yasuhiro Yoshiura,73.0,79.0,15.0,880.0
m/last_passenger,Last Passenger,A maniac takes control of a speeding train and plans to crash it.,,"Action & Adventure, Mystery & Suspense",Omid Nooshin,"Andrew Love, Omid Nooshin, Andy Love",85.0,58.0,20.0,2541.0
m/feast_of_the_seven_fishes,Feast of the Seven Fishes,"The Oliverio family readies its Feast of the Seven Fishes, an Italian Christmas tradition stretching back to the old country.",,"Comedy, Drama, Romance",Robert Tinnell,Robert Tinnell,88.0,93.0,16.0,59.0
m/preggoland,Preggoland,"Ruth, a childless 35-year-old, ruins her friend's baby shower with juvenile antics and is promptly dropped by her friends. When she is mistakenly thought to be pregnant, she is welcomed back with open arms.",,Comedy,Jacob Tierney,Sonja Bennett,44.0,36.0,18.0,211.0
m/1002526-black_sunday,Black Sunday,"Blimp pilot Michael Lander (Bruce Dern), who has endured the horrors of the Vietnam War, is now psychotic. Hoping to kill himself in grand fashion, he teams with Palestinian terrorist Dahlia (Marthe Keller), who plans on using Lander to set off a bomb at the Super Bowl by crashing his aircraft into the crowded stands. With thousands of lives at stake, Israeli military agent Kabakov (Robert Shaw) teams with the F.B.I. in an attempt to stop Lander's mass murder-suicide.","A smart, tense thriller from director John Frankenheimer, Black Sunday succeeds on a technical level, even if it fails to bring its characters to vivid life.","Action & Adventure, Drama, Horror, Mystery & Suspense",John Frankenheimer,"Ivan Moffat, Kenneth Ross, Ernest Lehman",69.0,64.0,26.0,3906.0
m/sordid_lives,Sordid Lives,"Sometimes it takes a death to bring a family together. The all-star casts puts a comedic twist on a story of unconditional love, acceptance and ""coming out"" in a Texas family. The eccentric cast of characters come together when their intertwining lives prepare for the funeral of the family matriarch.",,"Comedy, Drama",Del Shores,"Del Shores, Del Shores",37.0,85.0,27.0,3425.0
m/the_queen_of_versailles,The Queen of Versailles,"The 2008 global economic crisis threatens the fortune of Florida billionaires David and Jackie Siegel just as they are in the middle of building a 90,000 square-foot estate.","The Queen of Versailles is a timely, engaging, and richly drawn portrait of the American Dream improbably composed of equal parts compassion and schadenfreude.","Documentary, Special Interest",Lauren Greenfield,,95.0,73.0,117.0,15791.0
m/out_of_the_furnace,Out of the Furnace,"Steelworker Russell Baze (Christian Bale) works a dead-end job and holds tight to his sense of family, duty and loyalty. Rodney Baze (Casey Affleck), Russell's brother, returns home after serving in Iraq and, with his debts piling up, becomes entangled with a vicious crime lord (Woody Harrelson). Soon afterward, Rodney disappears mysteriously. The police fail to solve the case, so Russell -- feeling he has little left to lose -- puts his life on the line to bring his brother home.","While it may not make the most of its incredible cast, Out of the Furnace is still so packed with talent that it's hard to turn away.",Drama,Scott Cooper,Scott Cooper,54.0,52.0,196.0,43760.0
m/hold_the_dark,Hold the Dark,"Summoned to a remote Alaskan village to search for the wolves that killed three children, a wolf expert soon finds himself unraveling a harrowing mystery.",Hold the Dark's unsettling aesthetic offers more of what filmgoers expect from director Jeremy Saulnier - and is often enough to prop up shaky narrative underpinnings.,Mystery & Suspense,Jeremy Saulnier,Macon Blair,71.0,31.0,83.0,1204.0
m/the_burbs,The 'Burbs,"Settling in for some time off in his suburban home, Ray Peterson's (Tom Hanks) vacation becomes a horror when the Klopeks, a suspiciously odd family, move in down the block. Enlisting the aid of his paranoid buddy, Art (Rick Ducommun), and his militia-man neighbor, Rumsfield (Bruce Dern), Ray sends his son and wife (Carrie Fisher) away on a trip while he investigates the Klopeks. When a neighbor disappears, Ray and his cohorts risk their lives to save their cul-de-sac from the clutches of evil.","The 'Burbs has an engaging premise, likable cast, and Joe Dante at the helm -- so the mixed-up genre exercise they produce can't help but feel like a disappointment.","Comedy, Mystery & Suspense, Special Interest",Joe Dante,"Dana Olsen, Robert Collector, Mitch Markowitz",53.0,71.0,38.0,60873.0
m/thirty-two-short-films-about-glenn-gould,Thirty Two Short Films About Glenn Gould,"In this episodic fusion of documentary and biographical drama, director François Girard explores the life of 20th-century pianist Glenn Gould through a series of brief fictional reenactments and real interviews with those who knew the musician. After distinguishing himself as a prodigy at a very young age, the enigmatic Gould (Colm Feore) grows up to dissect the accepted rules of musical theory, and eventually refuses to perform before an audience. He also becomes addicted to prescription pills.","Befitting its singularly brilliant subject, Thirty Two Short Films About Glenn Gould captures the essence of a life and legacy while flouting biopic conventions.","Art House & International, Documentary, Drama, Musical & Performing Arts",François Girard,"Don McKellar, François Girard, Glenn Gould",92.0,88.0,25.0,4229.0
m/birth,Birth,"It took Anna (Nicole Kidman) 10 years to recover from the death of her husband, Sean, but now she's on the verge of marrying her boyfriend, Joseph (Danny Huston), and finally moving on. However, on the night of her engagement party, a young boy named Sean (Cameron Bright) turns up, saying he is her dead husband reincarnated. At first she ignores the child, but his knowledge of her former husband's life is uncanny, leading her to believe that he might be telling the truth.","A well-mounted production is undermined by a muddled, absurd storyline of questionable taste.","Drama, Mystery & Suspense",Jonathan Glazer,"Milo Addica, Jean-Claude Carriere, Jonathan Glazer",38.0,43.0,147.0,28252.0
m/the_valley_2018,The Valley,"Indian-American entrepreneur Neal Kumar, his wife Roopa and his daughters Monica and Maya reside in the high octane, technologically driven culture that is Silicon Valley. His ambitions and affluent life appear idyllic from the exterior, however, when daughter Maya tragically commits suicide, the fractured nature of his interior life becomes apparent to himself and to those around him.",,"Drama, Mystery & Suspense",Saila Kariat,Saila Kariat,42.0,62.0,12.0,27.0
m/red_obsession_2013,Red Obsession,"Chinese demand for France's finest wines has caused the price of Bordeaux to skyrocket, forcing traditional buyers out.",,"Documentary, Special Interest","David Roach, Warwick Ross","David Roach, Warwick Ross",86.0,70.0,22.0,4775.0
m/exorcist_the_beginning,Exorcist: The Beginning,"Father Merrin (Stellan Skarsgard) is haunted by his experiences in World War II, when occupying Nazi troops forced him to be complicit in their atrocities. In the aftermath, he has renounced his faith and begun working as an archaeologist. He travels to Kenya, where a fifth-century Byzantine church holds ancient relics. There he encounters Sarah (Izabella Scorupco), a doctor and concentration camp survivor. The strange occurrences that soon begin reunite him with the evil he sought to escape.","A mediocre, gory horror film, nowhere near the quality of the 1973 original.","Drama, Horror, Mystery & Suspense",Renny Harlin,"Alexi Hawley, Renny Harlin",10.0,27.0,134.0,80465.0
m/1046723-man_who_loved_women,The Man Who Loved Women,"A psychiatrist (Julie Andrews) recalls the fate of her late patient, a sculptor (Burt Reynolds) infatuated with women.",,"Comedy, Romance",Blake Edwards,"Geoffrey Edwards, Blake Edwards, Milton Wexler",33.0,37.0,12.0,1591.0
m/mvp_most_valuable_primate,MVP: Most Valuable Primate,"The story of Jack, a fun-loving, scene-stealing primate with a penchant for ice hockey. The friendships this charming chimp forms, the predicaments he finds himself in and the precocious antics he regularly delivers are all a part of the adventures of this rookie player who skates fast, shoots hard and drives everyone bananas.",,"Comedy, Kids & Family",Robert Vince,"Anne Vince, Robert Vince",20.0,40.0,5.0,7134.0
m/cradle_of_champions,Cradle of Champions,Three people compete in the 10-week New York's Daily News Golden Gloves tournament.,,Documentary,Bartle Bull,,100.0,,13.0,
m/a_thousand_years_of_good_prayers,A Thousand Years of Good Prayers,"In the wake of his wife's death, Shi (Henry O) leaves his native China to find his estranged daughter, Yilan (Faye Yu), in the United States. There, Shi befriends Madam (Vida Ghahremani), an Arab-American mother who can relate to his feelings of isolation and culture shock. After having an awkward reunion with Yilan, Shi realizes just how far apart they've grown from each other. And though he can barely speak English, Shi decides to stay permanently, hoping to mend their broken relationship.","Though it may not be as profound as its pacing would suggest, A Thousand Years of Good Prayers delicately examines familial issues in an earnest fashion.","Art House & International, Drama, Romance",Wayne Wang,Yiyun Li,79.0,54.0,38.0,856.0
m/1066170-kicking_and_screaming,Kicking and Screaming,"Preppie graduates (Josh Hamilton, Olivia d'Abo, Carlos Jacott) face their first year out of college and reminisce about student life.","Witty and watchable yet undeniably flawed, Kicking and Screaming marks writer-director Noah Baumbach as an emerging talent with intriguing potential.","Art House & International, Comedy, Drama",Noah Baumbach,Noah Baumbach,57.0,76.0,37.0,8633.0
m/lemora_a_childs_tale_of_the_supernatural,Lemora - A Child's Tale of the Supernatural,A 1920s Georgia vampire (Lesley Gilb) lures a gangster's (William Whitton) teenage daughter (Cheryl Smith) into a forest of zombies.,,"Classics, Drama, Horror","Richard Blackburn, Richard Blackburn (II)",Richard Blackburn,86.0,58.0,7.0,2168.0
m/high_spirits,High Spirits,"Irish hotelier Peter Plunkett (Peter O'Toole) attempts to fill the chronic vacancies at his castle by launching an advertising campaign that wrongly portrays the property as haunted. Unfortunately, he fails to scare a single American tourist with his hokey and dreadfully unconvincing effects. When two actual ghosts, Mary (Daryl Hannah) and Martin (Liam Neeson), show up to add some authenticity, they end up falling for two guests, Sharon (Beverly D'Angelo) and Jack (Steve Guttenberg).",,"Comedy, Science Fiction & Fantasy",Neil Jordan,"Neil Jordan, Steven Kampmann, Michael McDowell",27.0,59.0,15.0,7439.0
m/the_colossus_of_rhodes,The Colossus of Rhodes,"When soldier Darios (Rory Calhoun) arrives in Rhodes, King Serse (Roberto Camardiel) has commissioned a larger-than-life statue of Apollo meant to protect the harbor. Darios immediately falls for a young maiden, Diala (Léa Massari), who is the daughter of the statue's maker. In aligning himself with Diala, Darios also becomes involved with Peliocles (Georges Marchal) and his rebels, who seek to overthrow the tyrannical king. As the revolt gets underway, so does an earthquake.",,"Action & Adventure, Art House & International, Classics, Drama",Sergio Leone,"Sergio Leone, Luciano Martino, Duccio Tessari, Ennio De Concini, Cesare Seccia",63.0,31.0,8.0,528.0
m/mothra,Mothra,A flying monster terrorizes Japan after a nightclub owner kidnaps two tiny princesses from their island paradise.,,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Ishirô Honda,,75.0,62.0,12.0,1217.0
m/the_canyons_2013,The Canyons,"The discovery of an illicit love affair leads two young Angelenos on a violent, sexually charged tour through the dark side of human nature.","Oppressively misanthropic and ineptly made, The Canyons serves as a sour footnote in Paul Schrader's career -- but it does feature some decent late-period work from Lindsay Lohan.","Drama, Mystery & Suspense",Paul Schrader,Bret Easton Ellis,21.0,15.0,94.0,3185.0
m/trust_machine_the_story_of_blockchain,Trust Machine: The Story of Blockchain,"Filmmaker Alex Winter explores the origin and evolution of cryptocurrency, including the technology's ability to fight poverty and hunger.",,Documentary,Alex Winter,Alex Winter,90.0,83.0,10.0,56.0
m/tale_of_despereaux,The Tale of Despereaux,"Once a thriving place of sunshine and delicious soup, the faraway kingdom of Dor has fallen into sadness. An accident leaves the king brokenhearted; the sunshine fades, and the soup disappears Into this world is born Despereaux (Matthew Broderick), a book-loving mouse and friend to Princess Pea (Emma Watson). When Pea is kidnapped, Despereaux must find a knight's brave heart within his tiny body and rescue his friend.","Despite its striking visuals, The Tale of Despereaux as a story feels familiar and unimaginative.","Action & Adventure, Animation, Comedy, Kids & Family",,"Will McRobb, Chris Viscardi",57.0,44.0,110.0,163704.0
m/daughter_of_the_wolf,Daughter of the Wolf,"An ex-military specialist comes home when her father passes away. After getting news that she has inherited a large sum of money, her son is kidnapped. Instead of seeking help, she captures one of the kidnappers and uses him to track down her son.",,"Action & Adventure, Mystery & Suspense",David Hackle,Nika Agiashvili,22.0,40.0,9.0,60.0
m/narco_cultura_2013,Narco Cultura,"Filmmaker Shaul Schwarz exposes the cycle of addiction to money, drugs and violence surrounding the war on drugs.","Disturbing, thought-provoking, and timely, Narco Cultura sheds some crucial light on an important -- and underserved -- subject.","Documentary, Special Interest",Shaul Schwarz,,89.0,77.0,44.0,2081.0
m/nebraska,Nebraska,"Cantankerous old buzzard Woody Grant (Bruce Dern) can barely walk down the street of his home in Billings, Mont., without stopping for a drink. So when Woody receives receives a sweepstakes notice in the mail and insists on making a 750-mile trip to Lincoln, Neb., to collect his prize, it falls to baffled son David (Will Forte) to accompany him. During a stop in their Nebraska hometown, word gets out about Woody's fortune, first making him a hero, then later, the target of predatory people.","Elegant in its simplicity and poetic in its message, Nebraska adds another stirringly resonant chapter to Alexander Payne's remarkable filmography.",Drama,Alexander Payne,Bob Nelson,91.0,83.0,247.0,44798.0
m/1198569-recount,Recount,"In this dramatization of the 2000 presidential election, Al Gore concedes the presidency to George W. Bush, but recants when he learns of irregularities in the Florida vote count. Democratic strategists Ron Klain (Kevin Spacey) and Michael Whouley (Denis Leary) race to Florida to uncover the truth, as do Republicans under James Baker (Tom Wilkinson). Between faulty voting equipment and the vagaries of Florida's Secretary of State Katherine Harris (Laura Dern), a 36-day stalemate ensues.","Recount deftly brings a controversial chapter of electoral history to dramatic life with a compelling cast, although some viewers may take issue with its conclusions.","Comedy, Drama, Television",Jay Roach,Danny Strong,78.0,81.0,32.0,4337.0
m/lost_girls_2020,Lost Girls,"Determined to find her missing daughter, a desperate woman launches a personal investigation that leads police to the unsolved cases of murdered sex workers.","Raw yet rewarding, Lost Girls overcomes uneven storytelling with powerful performances and a willingness to resist easy catharsis.","Drama, Mystery & Suspense",Liz Garbus,"Michael Werwie, Robert Kolker, Michael Werwie",72.0,52.0,50.0,279.0
m/boy_who_could_fly,The Boy Who Could Fly,"Kindly adolescent Milly (Lucy Deakins) moves in next door to autistic teen Eric Gibb (Jay Underwood). The mute Eric, whose parents were killed when he was 5 years old, lives with his hard-drinking uncle, Hugo (Fred Gwynne), and is obsessed with birds. His tendency to stand on rooftops and window ledges posed as if he's flying alarms his social workers, but when Eric saves Milly from a potentially deadly fall, she begins to believe that the boy really can take flight.",Writer-director Nick Castle's careful command of tone keeps The Boy Who Could Fly from fully surrendering to its story's sentimental tendencies.,"Drama, Kids & Family, Science Fiction & Fantasy",Nick Castle Jr.,Nick Castle Jr.,63.0,69.0,30.0,9368.0
m/day_of_the_falcon,Day of the Falcon,"In the early 20th century, an emir (Antonio Banderas) and a sultan (Mark Strong) fight over rights to oil exploration in the Arabian Peninsula.",,"Action & Adventure, Drama",Jean-Jacques Annaud,"Jean-Jacques Annaud, Menno Meyjes",11.0,51.0,27.0,1530.0
m/dim_sum_funeral,Dim Sum Funeral,"In the wake of her death, the embittered children of Chinese-American matriarch Mrs. Xiao (Lisa Lu) begrudgingly return to their childhood home for a bristly -- and brief, they hope -- reunion. But after Xiao's maid and sole confidant, Viola (Talia Shire), reveals her wish to undergo a week-long Buddhist funeral rite, the younger Xiaos -- including plastic surgeon Alexander (Russell Wong) and lesbian actress Meimei (Steph Song) -- have seven days to come to terms with her death, and each other.",,"Art House & International, Comedy, Drama",Anna Chi,Donald Martin,0.0,36.0,5.0,321.0
m/the_signal_2014,The Signal,"A surprise awaits three college students (Brenton Thwaites, Beau Knapp, Olivia Cooke) who think they have tracked a rival computer hacker to a shed in the Nevada desert.","Director William Eubank clearly has big ideas and an impressive level of technical expertise; unfortunately, The Signal fritters them away on a poorly constructed story.","Mystery & Suspense, Science Fiction & Fantasy",William Eubank,"William Eubank, Carlyle Eubank, David Frigerio",61.0,38.0,90.0,14733.0
m/opposite_sex,The Opposite Sex,"Former radio singer Kay (June Allyson) learns from her gossipy friends that her husband, Steve (Leslie Nielsen), has had an affair with chorus girl Crystal (Joan Collins). Devastated, Kay tries to ignore the information, but when Crystal performs one of her musical numbers at a charity benefit, she breaks down and goes to Reno to file for divorce. However, when she hears that gold-digging Crystal is making Steve unhappy, Kay resolves to get her husband back.",,"Classics, Comedy, Musical & Performing Arts, Romance",David Miller,"Fay Kanin, Michael Kanin",20.0,47.0,5.0,248.0
m/hick_2012,Hick,A pistol-packing teen (Chloë Grace Moretz) meets an unstable rebel (Eddie Redmayne) and a cocaine-snorting drifter (Blake Lively) as she hitchhikes her way out West.,Hick's talented young star is ill served by a film whose story wavers between discomfitingly inappropriate and simply muddled.,Drama,Derick Martini,"Andrea Portes, Derick Martini",5.0,36.0,22.0,6666.0
m/butterfly_effect,The Butterfly Effect,"College student Evan Treborn (Ashton Kutcher) is afflicted with headaches so painful that he frequently blacks out. While unconscious, Evan is able to travel back in time to difficult moments in his childhood. He can also alter the past for friends, like Kayleigh (Amy Smart), who was molested by her father (Eric Stoltz). But changing the past can drastically alter the present, and Evan finds himself in nightmarish alternate realities, including one where he's locked away in prison.","The premise is intriguing, but it's placed in the service of an overwrought and tasteless thriller.","Drama, Mystery & Suspense, Science Fiction & Fantasy","Eric Bress, J. Mackye Gruber","Eric Bress, J. Mackye Gruber",33.0,81.0,172.0,623332.0
m/leaving_home_coming_home_a_portrait_of_robert_frank,"Leaving Home, Coming Home: A Portrait of Robert Frank",Photographer and filmmaker Robert Frank discusses his lifelong work of creating images and reminisces about his collaborations with famous actors and musicians.,,Documentary,Gerald Fox,,90.0,,10.0,
m/vhs_viral,V/H/S: Viral,"A police chase through the streets of Los Angeles inspires dozens of fame-obsessed teens to try to capture the salacious footage, but they are unaware that they will face their own deaths as stars of the next video sensation.",V/H/S/: Viral is hardly a sensation as it cycles through the franchise's least frightening vignettes yet.,"Horror, Mystery & Suspense","Gregg Bishop, Justin Benson, Aaron Moorhead, Marcel Sarmiento, Nacho Vigalondo","Gregg Bishop, Justin Benson, Marcel Sarmiento, Nacho Vigalondo, Todd Lincoln, David White, T.J. Cimfel",34.0,13.0,32.0,5059.0
m/1107688-bad_seed,Bad Seed,"When average guy Preston Tylk (Luke Wilson) finds out that his wife, Emily (Mili Avital), has been cheating on him, his life quickly spirals out of control. After leaving the house, Preston returns to discover that Emily has been killed. Intent on exacting revenge, he seeks out her lover, Jonathan (Norman Reedus), who is the likely murder suspect. As things get more complicated for Preston, he hires private investigator Dick Muller (Dennis Farina) to help him track down the elusive Jonathan.",,"Horror, Mystery & Suspense","Jon Bokenkamp, John Bokenkamp",Jon Bokenkamp,20.0,47.0,5.0,1233.0
m/side_by_side_2012,Side by Side,"Directors James Cameron, David Fincher, Martin Scorsese, Christopher Nolan and others discuss digital technology's impact on filmmaking.","Keanu Reeves proves a groovy guide through this informative exploration of how technology is transforming cinema, with an even-handed defense for both the old and the new.","Documentary, Television",Chris Kenneally,Chris Kenneally,93.0,86.0,68.0,11045.0
m/ivory_tower,Ivory Tower,"As tuition spirals upward and student debt passes a trillion dollars, students and parents begin to wonder if college is worth the expense.","Although Ivory Tower makes it clear that there isn't enough room in a 90-minute film to tackle spiraling student loan debt, it also serves as a compelling call for deeper investigation.",Documentary,Andrew Rossi,,83.0,78.0,52.0,1339.0
m/homer_and_eddie,Homer & Eddie,A slow-witted dishwasher (James Belushi) drives to Oregon with a dying woman (Whoopi Goldberg) who robs stores and shoots people.,,"Action & Adventure, Comedy, Drama",Andrey Konchalovskiy,Patrick Cirillo,0.0,35.0,7.0,377.0
m/invisible_circus,The Invisible Circus,"After learning that her sister, Faith (Cameron Diaz), has committed suicide in Portugal, Phoebe (Jordana Brewster), an 18-year-old hippie, decides to uproot from her San Francisco home to travel to Europe. Phoebe hopes to discover and experience the life that led to her sister's death by retracing her footsteps, which eventually leads to Wolf (Christopher Eccleston) -- Faith's boyfriend. However, as Phoebe's journey continues, a series of visions of Faith pushes her mind to the brink.","Despite Jordana Brewster's strong performance, The Invisible Circus lacks the necessary dramatic tension to be interesting. Also, the cultural and political contexts of the period are barely explored.","Drama, Mystery & Suspense",Adam Brooks,Adam Brooks,22.0,44.0,63.0,3697.0
m/little_manhattan,Little Manhattan,"Gabe (Josh Hutcherson), a sixth grader, is partnered with Rosemary (Charlie Ray) in his karate class. Though he's known her a long time, Rosemary suddenly becomes his first crush. At home, Gabe's unhappy parents, Adam (Bradley Whitford) and Leslie (Cynthia Nixon), are waiting for their divorce to be finalized. Gabe and Rosemary begin dating, but when he realizes she'll be going away to camp soon, he panics. His attempts to permanently win her over backfire, leaving him confused and miserable.",Little Manhattan is a sweet story of young love that provides an enlightening if pragmatic view on love and courtship.,"Comedy, Drama, Kids & Family, Romance",Mark Levin,"Mark Levin, Jennifer Flackett",77.0,86.0,31.0,22763.0
m/ringu_2,Ringu 2 (Ring 2),"While investigating the mysterious death of her boyfriend, Mai (Miki Nakatani) learns of the existence of a videotape that causes those who watch it to die. She then hears the story of Sadako (Rie Ino'o), the vengeful, supernatural force behind the tape. Journalist Reiko (Nanako Matsushima) and her young boy previously watched the tape and survived, but when Mai finds them, the child is fighting off possession by Sadako. As Mai tries to help them, Sadako's spirit comes after her, too.",,"Art House & International, Horror",Hideo Nakata,,0.0,51.0,13.0,10211.0
m/dolphin_tale,Dolphin Tale,"While swimming free in the ocean, a young dolphin gets caught in a trap and severely damages her tail. Though she is rescued and transported to Clearwater Marine Hospital, her tail cannot be saved, and the prognosis is dire. What the dolphin, now named Winter, needs is a miracle. She gets that miracle in the form of a marine biologist (Harry Connick Jr.), a prosthetics designer (Morgan Freeman), and a devoted boy (Nathan Gamble), who find a way to help Winter swim again.","Wisely dialing down the schmaltz, Dolphin Tale is earnest, sweet, and well-told, a rare family film that both kids and parents can enjoy.","Drama, Kids & Family",Charles Martin Smith,"Noam Dromi, Karen Janszen, Charles Martin Smith",81.0,80.0,113.0,45371.0
m/the_program,The Program,Journalist David Walsh (Chris O'Dowd) of The Sunday Times investigates famed cyclist Lance Armstrong (Ben Foster) for doping.,Ben Foster's impressive efforts to channel Lance Armstrong are often enough to power The Program past director Stephen Frears' frustrating unwillingness to delve deeper into its real-life story.,Drama,Stephen Frears,"John Hodge, Stephen Frears",62.0,43.0,108.0,3059.0
m/10008611-my_best_friends_girl,My Best Friend's Girl,"Lovestruck Dustin (Jason Biggs) is dating Alexis (Kate Hudson), his ideal girlfriend, but when she dumps him for coming on too strong, Dustin takes drastic measures to win her back. He asks his pal Tank (Dane Cook) to take her on a horrible date so that she will come running back to him, and Tank happily agrees. However, Alexis is more than a match for Tank's shock tactics, leaving him torn between loyalty to Dustin and a growing attraction toward Alexis.","My Best Friend's Girl spends too much time being vulgar and offensive, leaving little room for laughs.","Comedy, Drama",Howard Deutch,"Jordan Cahan, Jordan B. Cahan",14.0,46.0,59.0,86594.0
m/daylight_2011,Daylight,Kidnappers abduct and terrorize a pregnant woman (Alexandra Meierhans) and her companion.,,"Drama, Mystery & Suspense",David Barker,"David Barker, Michael Godere, Alexandra Meierhans",91.0,63.0,11.0,609.0
m/dhamma_brothers,The Dhamma Brothers,"In 2002, psychotherapist Jenny Phillips begins intensive meditation retreats for inmates at a maximum-security prison in rural Alabama. Based on the principles of Vipassana meditation, the 10-day retreats are conducted in total silence. This documentary explores the lives of four convicted murderers before, during and after the arduous retreats, as well as reactions from residents of the nearby town of Bessemer, many of whom object to the program on religious or social grounds.",This thoughtful if rough hewn doc about death row inmates who discover Buddhism inspires hope that all of us are worthy of redemption.,"Documentary, Special Interest","Andrew Kukura, Jenny Phillips, Anne Marie Stein","Anne Marie Stein, Andrew Kukura, Jenny Phillips",83.0,78.0,23.0,340.0
m/nancy_drew_and_the_hidden_staircase_2019,Nancy Drew and the Hidden Staircase,"Modern, smart, and independent, Nancy Drew reluctantly befriends Helen, the local mean girl, and together they investigate the haunting of Twin Elms.","Elevated by a well-cast Sophia Lillis, Nancy Drew and the Hidden Staircase leads audiences into a genially entertaining new take on the venerable character.","Drama, Kids & Family, Mystery & Suspense",Katt Shea,"Nina Fiore, John Herrera",68.0,59.0,25.0,178.0
m/waking_ned_devine,Waking Ned Devine,"When best friends Jackie O'Shea (Ian Bannen) and Michael O'Sullivan (David Kelly) discover someone in their small Irish village has won the lottery, they immediately set off to see if the winner is in a sharing mood. Deducing that Ned Devine is the lucky man, O'Shea and O'Sullivan pay him a visit, only to find him dead from shock. Since Devine is the only one who can claim the prize, the townsfolk band together to convince the claim inspector that O'Sullivan is really Devine, and split the cash.","A heartwarming comedy with a delightfully light touch, Waking Ned Devine finds feel-good humor in some unexpected -- and unexpectedly effective -- places.",Comedy,Kirk Jones,Kirk Jones,84.0,88.0,61.0,28824.0
m/kansas_city,Kansas City,"Aspiring thief Johnny (Dermot Mulroney) messes with the wrong man when he attempts to steal from Seldom Seen (Harry Belafonte), a Kansas City mob dynamo. Blondie (Jennifer Jason Leigh), Johnny's wife, refuses to sit back and let Johnny be held captive, resulting in a scheme to abduct a prominent government official's wife (Miranda Richardson). Blondie's plan is to use the woman's political connections to free her husband, but it gets complicated when the two women form an unlikely bond.",,"Drama, Mystery & Suspense",Robert Altman,"Frank Barhydt, Robert Altman",62.0,43.0,37.0,2070.0
m/a_will_for_the_woods,A Will For The Woods,A man searching for a final resting place becomes involved with the burgeoning green burial movement.,,"Documentary, Drama, Special Interest","Amy Browne, Brian Wilson, Jeremy Kaplan, Tony Hale",,77.0,81.0,13.0,140.0
m/black_ops_2020,Black Ops,"Trapped on a never-ending stairwell, members of a black ops team confront a mysterious and terrifying evil while trying to climb to the top.",,"Action & Adventure, Horror, Science Fiction & Fantasy",Tom Paton,Tom Paton,67.0,,9.0,
m/the_riot_club,The Riot Club (Posh),"Two first-year students (Sam Claflin, Max Irons) at Oxford University join a secret society and learn that their reputations can be made or destroyed over the course of one evening.","The Riot Club may not be subtle, but it makes its points with power, using dark humor and a talented cast to offer a scathing indictment of unearned privilege.","Art House & International, Drama, Mystery & Suspense",Lone Scherfig,Laura Wade,67.0,43.0,69.0,4998.0
m/koch_2012,Koch,The life of former New York City Mayor Ed Koch.,,"Documentary, Special Interest",Neil Barsky,,90.0,76.0,39.0,395.0
m/a_united_kingdom,A United Kingdom,"In the 1940s, Prince Seretse Khama of Botswana shocks the world when he marries a white woman from London.","Well-acted, solidly crafted, and all-around worthy, A United Kingdom presents an absorbing look at a singular true-life love story.","Drama, Romance",Amma Asante,Guy Hibbert,84.0,76.0,163.0,9490.0
m/guest_of_honour,Guest of Honour,A father and his daughter are haunted by the past.,"David Thewlis' performance aside, Guest of Honour serves as a frustratingly limited return to form for writer-director Atom Egoyan.",Drama,Atom Egoyan,Atom Egoyan,41.0,67.0,64.0,6.0
