rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/1077077-breakdown,Breakdown,"On their cross-country drive, a married couple, Jeff (Kurt Russell) and Amy Taylor (Kathleen Quinlan), experience car trouble after an accident. Stranded in the New Mexico desert, the two catch a break when a passing truck driver, Red Barr (J.T. Walsh), offers to drive Amy to a nearby café to call for help. Meanwhile, Jeff is able to fix the car and make his way to the café, only to find his wife missing and Barr claiming ignorance. Jeff then begins a frenzied search for Amy.",A brainy and suspenseful -- if somewhat uneven -- thriller.,"Action & Adventure, Drama, Mystery & Suspense",Jonathan Mostow,"Sam Montgomery, Jonathan Mostow",81.0,67.0,52.0,36031.0
m/truth_about_charlie,The Truth About Charlie,"Regina (Thandie Newton) meets charming Joshua (Mark Wahlberg) while vacationing in Martinique, as she contemplates ending her whirlwind marriage to enigmatic Charlie (Stephen Dillane). Then upon her return to Paris, she finds that both her apartment and her bank account have been emptied, and her husband has been murdered. The more Reggie learns, the more she realizes the scope of the puzzle, which she must solve to protect herself from ever-increasing danger.","Newton has star quality, but this exercise in style can't hold a candle to the original.","Comedy, Drama, Mystery & Suspense",Jonathan Demme,"Jonathan Demme, Steve Schmidt, Peter Stone, Jessica Bendinger, Peter Joshua",33.0,27.0,135.0,10147.0
m/sparkle_2012,Sparkle,"In 1968, girl groups and the Motown sound are sweeping the nation. Despite their mother's (Whitney Houston) misgivings, talented sisters Delores (Tika Sumpter), Sister (Carmen Ejogo) and Sparkle (Jordin Sparks) are taking Detroit by storm, and their dreams are even bigger. Their ambitious manager (Derek Luke) will do whatever it takes to make the big time, even if it means exploiting the sisters -- and his love for Sparkle -- for the foundation of a new musical empire.","While undeniably melodramatic and old-fashioned, Sparkle transcends its formulaic trappings thanks to Salim Akil's empathetic direction and strong performances from a committed cast.","Drama, Musical & Performing Arts",Salim Akil,"Howard Rosenman, Mara Brock Akil",56.0,44.0,94.0,886.0
m/all_about_my_mother,All About My Mother (Todo sobre mi madre),"A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does not hold true for Manuela. The night a car ran over her son Esteban, Manuela cried until her eyes ran completely dry. Far from seeing clearly, the present and the future become mixed up in darkness. She begins looking for his father who has become a transvestite.","Almodovar weaves together a magnificent tapestry of femininity with an affectionate wink to classics of theater and cinema in this poignant story of love, loss and compassion.","Art House & International, Drama",Pedro Almodóvar,Pedro Almodóvar,98.0,93.0,90.0,52217.0
m/professionals,The Professionals,"Four soldiers of fortune are hired by a wealthy rancher to rescue his beautiful young wife who has been kidnapped by a villainous Mexican bandit. When they finally find her, after fighting their way across deserts and mountains, they discover she is not being held against her will. This causes friction within the band as to whether they should honor their agreement.",,"Action & Adventure, Art House & International, Classics, Western",Richard Brooks,Richard Brooks,88.0,82.0,17.0,3964.0
m/small_town_gay_bar,Small Town Gay Bar,"The lives of gays in the Deep South are explored in this documentary, which looks at two bars in rural Mississippi that cater to a homosexual clientele. ""Rumors"" is in all other ways a modest neighborhood hangout; ""Crossroads"" is an anything-goes establishment. Interviews with regular patrons portray both bars as islands of acceptance in an ocean of prejudice, exemplified by the derision of customers at nearby straight bars and the cutting homophobia of anti-gay preacher Fred Phelps.",,"Documentary, Special Interest",Malcolm Ingram,Malcolm Ingram,100.0,69.0,6.0,1648.0
m/wes_craven_presents_dracula_iii_legacy_2004,Wes Craven Presents Dracula III: Legacy,"With help from his partner (Jason Scott Lee), a vampire hunter (Jason London) tries to save his fiancee from the evil count in Romania.",,Horror,Patrick Lussier,"Patrick Lussier, Joel Soisson",50.0,32.0,8.0,5920.0
m/dracula_2000,Dracula 2000,"Long ago, Abraham Van Helsing (Christopher Plummer) imprisoned the infamous Count Dracula (Gerard Butler) within a vault inside Carfax Abbey. In the present day, Van Helsing relies on Dracula's immortal blood to remain alive. But then thieves breaks into the vault and steal the vampire's coffin, thinking it contains something valuable. Liberated from his prison, Dracula seizes the opportunity to escape, but Van Helsing sets out to banish him to the crypt once again.","This retelling trys to offer a different spin on the origin of Dracula. Unfortunately, there's nothing here audiences haven't seen before.",Horror,Patrick Lussier,Joel Soisson,17.0,39.0,69.0,69959.0
m/super_capers,Super Capers,"Though he has no powers of his own, Ed Gruberman (Justin Whalin) works as a part-time superhero impersonator and idolizes the Dark Winged Vesper (Michael Rooker). After he helps trounce a mugger, Ed joins a team of misfit superheroes-in-training, but his dreams are dashed when they become suspects in a gold heist.",,"Action & Adventure, Comedy, Science Fiction & Fantasy",Ray Griggs,Ray Griggs,6.0,14.0,18.0,2480.0
m/swimmer,The Swimmer,"Well-off ad man Ned Merrill (Burt Lancaster) is visiting a friend when he notices the abundance of backyard pools that populate their upscale suburb. Ned suddenly decides that he'd like to travel the eight miles back to his own home by simply swimming across every pool in town. Soon, Ned's journey becomes harrowing; at each house, he is somehow confronted with a reminder of his romantic, domestic and economic failures, until a final visit with an old flame (Janice Rule) leaves him devastated.",,"Classics, Drama","Frank Perry, Sydney Pollack",Eleanor Perry,100.0,82.0,22.0,3110.0
m/fahrenheit_119,Fahrenheit 11/9,"Filmmaker Michael Moore predicted that Donald Trump would become the 45th president of the United States. Traveling across the country, Moore interviews American citizens to get a sense of the social, economic and political impact of Trump's victory. Moore also takes an in-depth look at voting, the Electoral College, the government agenda, the school shooting in Parkland, Fla., and the water crisis in his hometown of Flint, Mich.","Fahrenheit 11/9 finds Michael Moore in fine fighting form, delivering a political call to action that ranks among his most effective works.",Documentary,Michael Moore,Michael Moore,82.0,61.0,182.0,2949.0
m/my_blueberry_nights,My Blueberry Nights,"After her boyfriend of five years breaks up with her, Elizabeth (Norah Jones) consoles herself by consuming creamy confections at a sympathetic cafe owner's (Jude Law) eatery. She sets out on a road trip, supporting herself as a waitress along the way. Elizabeth meets a host of interesting characters on her journey, including an alcoholic policeman (David Strathairn), his unfaithful wife (Rachel Weisz), and a gambler (Natalie Portman).","Though well filmed, My Blueberry Nights is a mixed bag of dedicated performers working with thin material.",Drama,Kar-Wai Wong,"Kar-Wai Wong, Lawrence Block",46.0,61.0,128.0,32280.0
m/fill_the_void,Fill the Void,"After a young Hasidic woman dies in childbirth, her 18-year-old sister (Hadas Yaron) is asked to cancel her upcoming marriage to a promising young man and marry her widowed brother-in-law (Yiftach Klein) instead.","Graceful, complex, and beautifully layered, Fill the Void offers a sympathetic portrait of an insulated culture by exploring universal themes.","Art House & International, Drama",Rama Burshtein,Rama Burshtein,89.0,69.0,74.0,4119.0
m/roll_bounce,Roll Bounce,"Xavier (Bow Wow), a teenage boy in Chicago, struggles with the loss of his mother and turns to roller skating as a way to deal with his angst. He and his friends are the stars of the skating rink they frequent, but this is about to change. When it closes down, they have no choice but to try out a more upscale spot, the Sweetwater Roller Rink. There, they enroll in a skating contest, and have to prove themselves to the reigning champions, headed by a skater named Sweetness.","Roll Bounce dazzles us with a classic late 1970's feel, but this coming of age film could have been more than just a spin around the roller rink.","Comedy, Drama",Malcolm D. Lee,"Norman Vance, Jr., Norman Vance",65.0,70.0,91.0,56446.0
m/cop_land,Cop Land,"When hotheaded Superboy (Michael Rapaport) accidentally gets involved in an ugly racially-motivated incident, his uncle Ray Donlan (Harvey Keitel), a corrupt New York City cop, attempts to sweep it under the rug by helping fake his nephew's death. The bungled cover-up leads to investigations by idealistic Internal Affairs officer Moe Tilden (Robert De Niro) and Freddy Heflin (Sylvester Stallone), sheriff of the suburban New Jersey town where Donlan and his fellow crooked policemen live.","Cop Land matches its star-studded cast with richly imagined characters while throttling the audience with carefully ratcheted suspense, although it lacks the moral complexity of classic crime thrillers.","Action & Adventure, Drama, Mystery & Suspense",James Mangold,James Mangold,75.0,67.0,65.0,51298.0
m/brothers_hypnotic_2013,Brothers Hypnotic,The sons of Phil Cohran have to choose between becoming stars or following their father's principles.,,"Documentary, Special Interest",Reuben Atlas,,100.0,55.0,7.0,59.0
